id,data,topic,country,language
1,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" пассажиром является:"", ""options"": [""Лицо, кроме водителя и обучающего вождению, находящееся в салоне (кабине) транспортного средства (на нем)."", ""Лицо, кроме водителя и обучающего вождению, находящееся в салоне (кабине) транспортного средства (на нем), а также лицо, которое входит в транспортное средство (садится на него) или выходит из транспортного средства (сходит с него).""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
2,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" водительское удостоверение на право управления транспортными средствами категории „А” может быть выдано лицам, достигшим:"", ""options"": [""16 - летнего возраста."", ""17 - летнего возраста."", ""18 - летнего возраста.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
3,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” водительское удостоверение на право управления транспортными средствами категории „Е” может быть выдано лицам, достигшим:"", ""options"": [""17 - летнего возраста."", ""18 - летнего возраста."", ""19- летнего возраста.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
4,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Проезжая часть дороги” это:"", ""options"": [""Элемент дороги, предназначенный для движения транспортных средств."", ""Элемент дороги, предназначенный для движения безрельсовых транспортных средств.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
5,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"",Вынужденная остановка” это:"", ""options"": [""Прекращение движения, связанное с неожиданным включением запрещающего сигнала светофора."", ""Прекращение движения, из-за образовавшегося на дороге затора."", ""Приведение транспортного средства в состояние покоя, из-за его неисправности, физического и (или) душевного состояния водителя (пассажира), и (или) опасности, обусловленной перевозимым грузом или появлением на дороге иного препятствия."", ""Все перечисленные случаи.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
6,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Недостаточная видимость\"" это:"", ""options"": [""Видимость в темное время суток."", ""Видимость дороги в населенных пунктах при отсутствии искусственного освещения проезжей части."", ""Видимость дороги во время тумана, дождя, снегопада и (или) при иных погодных условиях, недостаточных для обеспечения безопасности дорожного движения, а также видимость дороги в темное время суток, и (или) видимость менее 300м.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
7,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” „Остановка” это:"", ""options"": [""Приведение транспортного средства в состояние покоя на время до 5 минут и (или) на время, необходимое для посадки, высадки и (или) загрузки, разгрузки транспортного средства."", ""Приведение транспортного средства в состояние покоя на время более 5 минут, если это не связано с посадкой, высадкой пассажиров или загрузкой, разгрузкой транспортного средства.""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
8,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения“ „Транспортное средство общего пользования\"", это:"", ""options"": [""Транспортное средство (трамвай, троллейбус, автобус), перевозящее пассажиров и (или) багаж и движущееся по маршрутам, имеющим остановочные места (остановки),"", ""Транспортное средство (трамвай, троллейбус, автобус, легковой автомобиль „такси“), перевозящее пассажиров и (или) багаж и движущееся по маршрутам, имеющим остановочные места (остановки). Отв.” 1""], ""correct_index"": 0, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
9,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения” к пешеходам приравниваются:"", ""options"": [""Инвалиды, передвигающиеся в инвалидных колясках без двигателя."", ""Лица, ведущие (толкающие) тележку, санки, детскую или инвалидную коляску."", ""Все перечисленные лица.""], ""correct_index"": 2, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
10,"{""question"": ""В соответствии с законом РА „Об обеспечении безопасности дорожного движения\"" „ Прицеп (полуприцеп)\"", это:"", ""options"": [""Любое механическое транспортное средство, буксируемое на жесткой сцепке."", ""Не оборудованное двигателем транспортное средство, которое предназначено для движения как одно целое в составе с механическим транспортным средством.""], ""correct_index"": 1, ""question_image"": null}","Группа № 2. Закон РА ""Об обеспечении безопасности дорожного движения""",am,ru
