id,data,topic,country,language
1,"{""question"": ""Эксплуатация автобусов запрещается, если:"", ""options"": [""Не работают аварийные выходы и устройства приведения их в действие."", ""Не работает сигнал требования остановки ."", ""В обоих случаях.""], ""correct_index"": 2, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
2,"{""question"": ""Эксплуатация автобусов запрещается, если:"", ""options"": [""Не работает привод управления дверьми."", ""Отсутствует медицинская аптечка."", ""В обоих случаях.""], ""correct_index"": 2, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
3,"{""question"": ""Эксплуатация автобусов запрещается, если:"", ""options"": [""Отсутствуют противооткатные упоры."", ""Сзади установлены красные фонари заднего хода."", ""В обоих случаях.""], ""correct_index"": 2, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
4,"{""question"": ""Эксплуатация автобусов запрещается, если:"", ""options"": [""Имеется один огнетушитель."", ""Отсутствует знак аварийной остановки."", ""В обоих случаях.""], ""correct_index"": 2, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
5,"{""question"": ""Эксплуатация автобусов запрещается, если:"", ""options"": [""Имеется один противооткатный упор."", ""Имеется один огнетушитель."", ""В обоих случаях.""], ""correct_index"": 2, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
6,"{""question"": ""Эксплуатация транспортных средств запрещена, если:"", ""options"": [""Шины легкового автомобиля имеют остаточную высоту рисунка протектора 1.8 мм."", ""Нарушена герметичность гидравлического тормозного привода."", ""В обоих случаях.""], ""correct_index"": 1, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
7,"{""question"": ""Эксплуатация транспортных средств запрещена, если:"", ""options"": [""Шины грузового автомобиля имеют остаточную высоту рисунка протектора 1.6 мм."", ""Не действует манометр пневматического тормозного привода."", ""В обоих случаях.""], ""correct_index"": 1, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
8,"{""question"": ""Эксплуатация транспортных средств запрещена, если:"", ""options"": [""В рулевом управлении имеются не предусмотренные конструкцией перемещения деталей и узлов или резьбовые соединения не затянуты."", ""В грузовом автомобиле отсутствует огнетушитель."", ""В обоих случаях.""], ""correct_index"": 2, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
9,"{""question"": ""Эксплуатация транспортных средств запрещена, если:"", ""options"": [""Не работают в установленном режиме внешние световые приборы."", ""Шины мотоцикла имеют остаточную высоту рисунка протектора 0.6 мм."", ""В обоих случаях.""], ""correct_index"": 2, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
10,"{""question"": ""Эксплуатация транспортных средств запрещена, если:"", ""options"": [""Задние противотуманные фонари подключены к стоп - сигналам."", ""Не работает указатель температуры охлаждающей жидкости двигателя."", ""В обоих случаях.""], ""correct_index"": 0, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
11,"{""question"": ""Эксплуатация транспортных средств запрещена, если:"", ""options"": [""Авигатель работает с перебоями."", ""Шины имеют обнажающие корд местные повреждения."", ""Не работают приборы внутреннего освещения салона легкового автомобиля."", ""Во всех перечисленных случаях.""], ""correct_index"": 1, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
12,"{""question"": ""Эксплуатация транспортных средств запрещена, если:"", ""options"": [""На мотоцикле без бокового прицепа отсутствует знак „Аварийная остановка\""."", ""Шины по размеру или допустимой нагрузке не со"", ""В обоих случаях.""], ""correct_index"": 1, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
13,"{""question"": ""Эксплуатация транспортных средств запрещена, если:"", ""options"": [""Отсутствует хотя бы один болт крепления обода колеса."", ""На одну ось установлены шины с различными рисунками протектора."", ""В обоих случаях.""], ""correct_index"": 2, ""question_image"": null}","Группа № 3. Неисправности и условия, при которых запрещается эксплуатация транспортных средств",am,ru
